run_id	delta_neuron_count	delta_multiplier	hit_delta	hit_hilton	hit_four_seasons	hit_hawaiian	raw_log
24	1000	1.75	0	1	0	1	delta_fix_norm/logs/run_24_dc1000_dm1.75.log
25	1000	2.00	1	1	0	0	delta_fix_norm/logs/run_25_dc1000_dm2.0.log
26	1000	2.25	1	1	0	0	delta_fix_norm/logs/run_26_dc1000_dm2.25.log
27	1000	2.50	1	1	0	0	delta_fix_norm/logs/run_27_dc1000_dm2.5.log
28	1000	2.75	1	1	0	0	delta_fix_norm/logs/run_28_dc1000_dm2.75.log
29	1000	3.00	1	0	0	0	delta_fix_norm/logs/run_29_dc1000_dm3.0.log
30	1000	3.25	1	1	0	0	delta_fix_norm/logs/run_30_dc1000_dm3.25.log
31	1000	3.50	1	1	0	0	delta_fix_norm/logs/run_31_dc1000_dm3.5.log
32	1000	3.75	1	1	0	0	delta_fix_norm/logs/run_32_dc1000_dm3.75.log
33	1000	4.00	1	1	0	0	delta_fix_norm/logs/run_33_dc1000_dm4.0.log
34	1250	1.50	0	1	0	1	delta_fix_norm/logs/run_34_dc1250_dm1.5.log
35	1250	1.75	0	1	0	1	delta_fix_norm/logs/run_35_dc1250_dm1.75.log
36	1250	2.00	1	1	0	0	delta_fix_norm/logs/run_36_dc1250_dm2.0.log
37	1250	2.25	1	1	0	0	delta_fix_norm/logs/run_37_dc1250_dm2.25.log
38	1250	2.50	1	1	0	0	delta_fix_norm/logs/run_38_dc1250_dm2.5.log
39	1250	2.75	1	1	0	0	delta_fix_norm/logs/run_39_dc1250_dm2.75.log
40	1250	3.00	1	1	0	0	delta_fix_norm/logs/run_40_dc1250_dm3.0.log
41	1250	3.25	1	1	0	0	delta_fix_norm/logs/run_41_dc1250_dm3.25.log
42	1250	3.50	1	1	0	0	delta_fix_norm/logs/run_42_dc1250_dm3.5.log
43	1250	3.75	1	1	0	0	delta_fix_norm/logs/run_43_dc1250_dm3.75.log
44	1250	4.00	1	0	0	0	delta_fix_norm/logs/run_44_dc1250_dm4.0.log
45	1500	1.50	0	1	0	1	delta_fix_norm/logs/run_45_dc1500_dm1.5.log
46	1500	1.75	0	1	0	1	delta_fix_norm/logs/run_46_dc1500_dm1.75.log
47	1500	2.00	0	1	0	1	delta_fix_norm/logs/run_47_dc1500_dm2.0.log
48	1500	2.25	0	0	0	0	delta_fix_norm/logs/run_48_dc1500_dm2.25.log
49	1500	2.50	1	1	0	0	delta_fix_norm/logs/run_49_dc1500_dm2.5.log
50	1500	2.75	1	0	0	0	delta_fix_norm/logs/run_50_dc1500_dm2.75.log
51	1500	3.00	1	1	0	0	delta_fix_norm/logs/run_51_dc1500_dm3.0.log
52	1500	3.25	1	1	0	0	delta_fix_norm/logs/run_52_dc1500_dm3.25.log
53	1500	3.50	1	1	0	0	delta_fix_norm/logs/run_53_dc1500_dm3.5.log
54	1500	3.75	1	0	0	0	delta_fix_norm/logs/run_54_dc1500_dm3.75.log
55	1500	4.00	1	1	0	0	delta_fix_norm/logs/run_55_dc1500_dm4.0.log
56	1750	1.50	0	1	0	1	delta_fix_norm/logs/run_56_dc1750_dm1.5.log
57	1750	1.75	0	0	0	0	delta_fix_norm/logs/run_57_dc1750_dm1.75.log
58	1750	2.00	0	1	0	1	delta_fix_norm/logs/run_58_dc1750_dm2.0.log
59	1750	2.25	1	1	0	0	delta_fix_norm/logs/run_59_dc1750_dm2.25.log
60	1750	2.50	1	1	0	0	delta_fix_norm/logs/run_60_dc1750_dm2.5.log
61	1750	2.75	1	1	0	0	delta_fix_norm/logs/run_61_dc1750_dm2.75.log
62	1750	3.00	1	1	0	0	delta_fix_norm/logs/run_62_dc1750_dm3.0.log
63	1750	3.25	1	1	1	0	delta_fix_norm/logs/run_63_dc1750_dm3.25.log
64	1750	3.50	1	0	0	0	delta_fix_norm/logs/run_64_dc1750_dm3.5.log
65	1750	3.75	1	0	0	0	delta_fix_norm/logs/run_65_dc1750_dm3.75.log
66	1750	4.00	1	0	0	0	delta_fix_norm/logs/run_66_dc1750_dm4.0.log
67	2000	1.50	0	1	0	1	delta_fix_norm/logs/run_67_dc2000_dm1.5.log
68	2000	1.75	0	0	0	0	delta_fix_norm/logs/run_68_dc2000_dm1.75.log
69	2000	2.00	1	1	0	0	delta_fix_norm/logs/run_69_dc2000_dm2.0.log
70	2000	2.25	1	1	0	0	delta_fix_norm/logs/run_70_dc2000_dm2.25.log
71	2000	2.50	1	1	0	0	delta_fix_norm/logs/run_71_dc2000_dm2.5.log
72	2000	2.75	1	1	0	0	delta_fix_norm/logs/run_72_dc2000_dm2.75.log
73	2000	3.00	1	1	0	0	delta_fix_norm/logs/run_73_dc2000_dm3.0.log
74	2000	3.25	1	1	0	0	delta_fix_norm/logs/run_74_dc2000_dm3.25.log
75	2000	3.50	1	0	0	0	delta_fix_norm/logs/run_75_dc2000_dm3.5.log
76	2000	3.75	1	1	0	0	delta_fix_norm/logs/run_76_dc2000_dm3.75.log
77	2000	4.00	1	0	0	0	delta_fix_norm/logs/run_77_dc2000_dm4.0.log
78	2250	1.50	0	1	0	1	delta_fix_norm/logs/run_78_dc2250_dm1.5.log
79	2250	1.75	0	1	0	0	delta_fix_norm/logs/run_79_dc2250_dm1.75.log
80	2250	2.00	1	1	0	0	delta_fix_norm/logs/run_80_dc2250_dm2.0.log
81	2250	2.25	1	1	0	0	delta_fix_norm/logs/run_81_dc2250_dm2.25.log
82	2250	2.50	1	1	0	0	delta_fix_norm/logs/run_82_dc2250_dm2.5.log
83	2250	2.75	1	1	0	0	delta_fix_norm/logs/run_83_dc2250_dm2.75.log
84	2250	3.00	1	1	0	0	delta_fix_norm/logs/run_84_dc2250_dm3.0.log
85	2250	3.25	1	1	0	0	delta_fix_norm/logs/run_85_dc2250_dm3.25.log
86	2250	3.50	1	1	0	0	delta_fix_norm/logs/run_86_dc2250_dm3.5.log
87	2250	3.75	1	0	0	0	delta_fix_norm/logs/run_87_dc2250_dm3.75.log
88	2250	4.00	1	1	0	0	delta_fix_norm/logs/run_88_dc2250_dm4.0.log
89	2500	1.50	0	1	0	1	delta_fix_norm/logs/run_89_dc2500_dm1.5.log
90	2500	1.75	0	1	0	1	delta_fix_norm/logs/run_90_dc2500_dm1.75.log
91	2500	2.00	1	1	0	0	delta_fix_norm/logs/run_91_dc2500_dm2.0.log
92	2500	2.25	1	1	0	0	delta_fix_norm/logs/run_92_dc2500_dm2.25.log
93	2500	2.50	1	1	0	0	delta_fix_norm/logs/run_93_dc2500_dm2.5.log
94	2500	2.75	1	1	0	0	delta_fix_norm/logs/run_94_dc2500_dm2.75.log
95	2500	3.00	1	1	0	0	delta_fix_norm/logs/run_95_dc2500_dm3.0.log
96	2500	3.25	1	1	0	0	delta_fix_norm/logs/run_96_dc2500_dm3.25.log
97	2500	3.50	1	1	0	0	delta_fix_norm/logs/run_97_dc2500_dm3.5.log
98	2500	3.75	1	0	0	0	delta_fix_norm/logs/run_98_dc2500_dm3.75.log
99	2500	4.00	1	0	0	0	delta_fix_norm/logs/run_99_dc2500_dm4.0.log
